day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2019-05-24,43,691484,72998,201840,27476,1501463.73,"{""direct"":226200,""email"":53374,""organic"":198379,""paid_search"":72543}"
2019-12-06,43,847477,99748,238848,29904,1581125.42,"{""direct"":263930,""email"":44282,""organic"":263389,""paid_search"":101671}"
2019-12-17,43,863042,97114,252951,33569,1772327.5,"{""direct"":280308,""email"":32358,""organic"":274419,""paid_search"":125636}"
2019-11-23,43,1242362,136804,343546,1033,53163.18,"{""direct"":475338,""email"":193606,""organic"":282495,""paid_search"":100451}"
2019-12-25,43,2593461,156783,748987,0,,"{""direct"":1193968,""email"":662838,""organic"":362481,""paid_search"":193732}"
2020-02-24,43,526064,53596,172574,15480,849744.95,"{""direct"":218933,""email"":12805,""organic"":169133,""paid_search"":72344}"
2020-02-15,43,694520,64028,232104,33587,1787570.8,"{""direct"":321316,""email"":85848,""organic"":215528,""paid_search"":60449}"
2020-04-17,43,1550460,175302,370827,729,104185.57,"{""direct"":353894,""email"":505999,""organic"":279778,""paid_search"":134937}"
2019-05-30,43,1072009,106691,340660,23292,1361989.61,"{""direct"":334946,""email"":131148,""organic"":341423,""paid_search"":109331}"
2019-09-30,43,1933347,137035,600737,18926,1167185.7,"{""direct"":674759,""email"":749143,""organic"":213692,""paid_search"":136876}"
2019-10-14,43,858169,77615,259433,20773,940190.51,"{""direct"":333765,""email"":205922,""organic"":189811,""paid_search"":67078}"
2020-03-22,43,675007,58224,220021,284,15202.58,"{""direct"":224619,""email"":11930,""organic"":246506,""paid_search"":92137}"
2020-05-12,43,940620,98453,289143,255,13247.19,"{""direct"":265676,""email"":13293,""organic"":332238,""paid_search"":102771}"
2019-10-25,43,517429,63109,157447,23510,1438757.37,"{""direct"":171842,""email"":45249,""organic"":117212,""paid_search"":73985}"
2019-04-19,43,645851,85096,223841,22883,3302902.76,"{""direct"":240679,""email"":67809,""organic"":155575,""paid_search"":65506}"
2020-03-27,43,742364,73102,229336,383,67864.26,"{""direct"":255547,""email"":86397,""organic"":205406,""paid_search"":89548}"
2019-08-25,43,236936,37894,49899,3261,203556.26,"{""direct"":50008,""email"":12719,""organic"":35693,""paid_search"":19308}"
2019-10-16,43,740199,73661,223211,22797,1108680.21,"{""direct"":264583,""email"":60667,""organic"":202272,""paid_search"":78560}"
2020-03-07,43,955860,82923,311601,1179,50880.28,"{""direct"":404727,""email"":86471,""organic"":358154,""paid_search"":62597}"
2020-02-17,43,503985,48982,151249,15031,736455.39,"{""direct"":194196,""email"":7021,""organic"":191802,""paid_search"":57469}"
2020-03-08,43,1009836,82424,329609,4415,221228.15,"{""direct"":371999,""email"":53444,""organic"":440028,""paid_search"":76302}"
2019-12-15,43,1381602,130055,415279,32981,1811541.49,"{""direct"":467968,""email"":57853,""organic"":448781,""paid_search"":214518}"
2019-07-18,43,1043970,86399,324972,2291,85803.68,"{""direct"":395256,""email"":71169,""organic"":252473,""paid_search"":166351}"
2019-08-03,43,730628,62444,232111,2461,115172.56,"{""direct"":265212,""email"":54129,""organic"":219405,""paid_search"":94858}"
2020-03-29,43,837773,74496,258705,45,262280,"{""direct"":252678,""email"":23395,""organic"":308360,""paid_search"":121866}"
2019-12-04,43,898474,111659,257848,25855,1274043.85,"{""direct"":266005,""email"":45919,""organic"":287415,""paid_search"":112898}"
2019-11-20,43,735808,94781,224183,20218,1056055.4,"{""direct"":259779,""email"":67727,""organic"":208645,""paid_search"":73027}"
2019-04-21,43,778120,87658,270613,3086,3270223.34,"{""direct"":309503,""email"":100191,""organic"":216066,""paid_search"":62114}"
2019-09-11,43,251032,43351,51063,20202,1174230.97,"{""direct"":45827,""email"":11750,""organic"":36755,""paid_search"":15296}"
2019-06-30,43,2119734,146935,680931,1325,49670,"{""direct"":690041,""email"":67194,""organic"":784386,""paid_search"":255444}"
2019-08-14,43,521717,55342,154919,22379,1207219.5,"{""direct"":184043,""email"":43420,""organic"":170008,""paid_search"":40094}"
